Haiku text,Publication Name,Year,Month,Volume,Issue
staring / at a sheet of paper — / a night without words,Brussels Sprout,1993,,X,1
thank you for the gift of yourself unwrapped,Brussels Sprout,1993,,X,1
littering / the perfect lawn / a dead bird,Brussels Sprout,1993,,X,1
more painful / than the loss itself / your tiny voice / asking why,Brussels Sprout,1993,,X,2
the view / from my kitchen table: / breathtaking sunset / and a stack of unpaid bills,Brussels Sprout,1993,,X,2
among the cinders / a man clutching a dog / and a small winter coat,Brussels Sprout,1993,,X,2
my recurring daydream / projected / onto your silhouette,Brussels Sprout,1993,,X,2
military jet / carves a white scar / into the sky,Brussels Sprout,1993,,X,2
offsetting the bills / in my mailbox / a new renga link,Brussels Sprout,1993,,X,3
approaching storm / grey sky curling / into a fetal position,Brussels Sprout,1993,,X,3
my son's crayon self-portrait / crying for daddy,Brussels Sprout,1993,,X,3
on the mantlepiece / your porcelain eyes / staring through me,Brussels Sprout,1993,,X,3
divorce mediation / your tender caress / around my jugular vein,Brussels Sprout,1994,,XI,1
swapping family photos / with the prostitute,Brussels Sprout,1994,,XI,1
I stayed up all night / trying to dream about you,Brussels Sprout,1995,,XII,1
through the morning fog / velvet sun,Brussels Sprout,1995,,XII,1
palm trees swaying / in the snow / on my television,Brussels Sprout,1995,,XII,2
Tompkins Square: / an old man teaches Tai-Chi / to a crowd of pigeons,Brussels Sprout,1995,,XII,2
a small pair of eyes / in the woods / defying my headlights,Modern Haiku,1993,Summer,XXIV,2
shattering / the reflected moon / frog's lonely swim,Modern Haiku,1995,Winter,XXVI,1
right on time / she buys her morning coffee / and ignores my smile,Modern Haiku,1995,Fall,XXVI,3
"I am your nightmare, said the pillow",dadakuku,2025,May,,
Leonardo's face / as he finishes / the last crayon,dadakuku,2026,March,,
scarecrows don't,dadakuku,2026,July,,
guarding / the abandoned silver mine / a one-eyed cat,moongarlic,2015,May,,4
she tells me she's close — / that faraway look,moongarlic,2015,May,,4
wind chill advisory — / I show her / my death poems,moongarlic,2015,May,,4
returning my stare / the naked mannequin,moongarlic,2015,May,,4
the call for war — / I let it go / to voicemail,moongarlic,2016,May,,6
waning moon — / the doctor asks / how much I drink,moongarlic,2016,May,,6
brutally cold — / the killer's / mug shot,moongarlic,2016,May,,6
limestone quarry / nobody swims here / anymore,Prune Juice,2026,,,
without even trying / a garden filled / with dandelions,trash panda,2021,Summer,1,1
osprey nest / waiting for the kids / to move out,trash panda,2024,Winter,,6
marsh grass or ragweed? / it's all the same / to a summer breeze,trash panda,2024,Winter,,6
jet's shadow / trespassing / in the field below,frogpond,1993,Winter,XVI,2
stripper / yawning / rhythmically,frogpond,1994,Winter,XVII,4
improbable morning / your earrings / on my dresser,frogpond,1994,Winter,XVII,4
sitting by the window / the breeze shifts direction / from pizza to chow mein,frogpond,1995,Summer,XVIII,2
masked by tree branches / the street light / can only flicker,frogpond,1995,Summer,XVIII,2
November Sun — / a startled snowman / drops his pipe,frogpond,1995,Winter,XVIII,4
unable to escape / the subway station / of my dreams,frogpond,1995,Autumn,XVIII,3
distant church bells / punish / my Sunday hangover,frogpond,1995,Autumn,XVIII,3
a sudden gust — / yesterday's headline / crosses the street,frogpond,1996,May,XIX,1
overgrown / with dandelions / the fallout shelter,frogpond,1996,September,XIX,2
lazy July morning — / the steam from my coffee / has no place to go,frogpond,1997,September,XX,2
July afternoon — / the smell of lightning,frogpond,1997,September,XX,2
late July night / a blues guitar / sweltering,frogpond,1997,September,XX,2
thrift store countertop / several engagement rings / only slightly used,frogpond,1997,December,XX,3
lingering for a kiss... / the train leaves / right on time,frogpond,1997,December,XX,3
Harvard Square / the street musician's / shiny new guitar,frogpond,1998,,XXI,3
decorating / the bare white window frame / a ladybug,frogpond,2001,,XXIV,2
a Christmas card / unsigned — / winter solstice,frogpond,2017,,40,1
three jazz pianists / improvising / for ghosts,still,1999,,3,four
Veteran's Day rain — / an old man holds an umbrella / above the monument,still,1999,,3,four
crowded subway car / the smell of her hair,still,2000,,4,two
spring in the air — / caught in the web / of her fishnet stockings,still,2000,,4,two
bottle in hand / I dance / with the stars,still,2001,,5,one
hot summer night — / following a bead of sweat / between her breasts,still,2001,,5,three
restless night — / reaching for the pager / in my sleep,acorn,1998,Fall,,1
Monday morning / traffic jam — / slow steady rain,acorn,1998,Fall,,1
wrong turn / down a dead-end street / irises in bloom,acorn,1999,Fall,,3
winter rain / a snowman / bows his head,acorn,2000,Spring,,4
January rain / in the treetop a crow calls / to itself,acorn,2000,Spring,,4
vast desert sky / I may or may not / be lost,acorn,2023,Fall,,51
steady snowfall — / reading and re-reading / my daughter's letter,The Heron's Nest,2000,February,2,2
snow mixes with rain — / my mother keeps calling me / by my brother's name,The Heron's Nest,2001,April,3,4
my daughter's graduation — / a gull separates / from the rest of the flck,The Heron's Nest,2001,October,3,8
harvest moon — / the dog brings / a dirty sock to bed,The Heron's Nest,2001,December,3,10
preparing for war / a chipmunk chatters / from a low-hanging branch,The Heron's Nest,2001,December,3,10
fall colors — / my youngest son's / deep voic,The Heron's Nest,2004,December,6,11
news of her death — / winter moon descending / beyond the trees,The Heron's Nest,2005,February,7,Memorial
windless night — / so many leaves / at the foot of the tree,The Heron's Nest,2006,September,8,Memorial
September mist — / someone / I've lost,The Heron's Nest,2010,,10,Memorial
snow in the forecast — / some extra spice / in the jambalaya,The Heron's Nest,2012,June,12,2
January — / the gym crowded / with resolutions,The Heron's Nest,2012,June,12,2
the best-laid plans of mice in our attic,The Heron's Nest,2018,September,20,3
snow in the forecast / she asks me when I started / turning gray,The Heron's Nest,2018,September,20,3
lingering fog / a song / I can't quite remember,temps libres,2023,January,,
on either side / of the barbed wire fence / sunset,temps libres,2022,October,,
a rusty caboose / surrounded by sunflowers,temps libres,2022,September,,
total eclipse / Mom no longer / recognizes me,temps libres,2022,August,,
Independence Day / she's not wearing / a ring,temps libres,2022,July,,
the mourning after / washing the ashes / from my jeans,temps libres,2022,June,,
distant thunder / photos of my parents / in better times,temps libres,2021,October,,
autumn color / a prison work crew / in day-glo orange,temps libres,2021,October,,
Utopia Parkway / remembering / her red dragon tattoo,temps libres,2021,July,,
after the rain / seagulls return / to the lifeguard stand,temps libres,2021,June,,
piles of rubble / what is / and isn't war,temps libres,2021,May,,
Earth Day / muddy footprints / in the kitchen,temps libres,2021,April,,
end of the weekend / the difference between / mist and fog,temps libres,2021,April,,
equinox / an unmatched / sock,temps libres,2021,March,,
Cape Cod winter / starfish / on the window sill,temps libres,2021,March,,
lost in translation / my Spanish class / over Zoom,temps libres,2021,February,,
winter dusk / unopened bottles / of wine,temps libres,2021,February,,
continued cold / paper roses / in a vase,temps libres,2021,January,,
cold spaghetti / a stock broker explains / credit default swaps,temps libres,2021,January,,
gale warning / remembering when I last / did a backup,temps libres,2021,January,,
winter chill / I remember / my mother's birthday,temps libres,2021,January,,
dining in darkness / a thin slice / of the moon,temps libres,2020,December,,
